habitation_id,habitation_name,district,latitude,longitude
281759,Mankachar,Dhubri,25.53620252018427,89.86718433486519
281738,Kuchnimara,Dhubri,25.570743704098444,89.88291651865373
281737,Jhawdanga Pt.III,Dhubri,25.57950212591709,89.88691706960827
281723,Kanyamati  (Kamamoti ),Dhubri,25.57882276556787,89.90136902170605
281740,Jordanga Pt.II,Dhubri,25.561847307098606,89.89126631491914
281747,Khashbil,Dhubri,25.5599916970753,89.89776306788451
281739,Jordanga Pt.I,Dhubri,25.557929315698825,89.87824543697543
281746,Chamaibil,Dhubri,25.515196075547244,89.88135034758301
281741,Thakurarbari,Dhubri,25.51741183017074,89.86833759286881
281742,Jhagrarchar Pt.I,Dhubri,25.49852572479018,89.85874340622432
281745,Kakripara Pt.I,Dhubri,25.505626907786247,89.87033255652803
281744,Kakripara Pt.II,Dhubri,25.49121346502189,89.8723586435513
281743,Jhagrarchar Pt.II,Dhubri,25.48113786639716,89.86114085633822
281751,Banshali,Dhubri,25.58293620867921,89.96687104828055
281750,Barkona,Dhubri,25.576105832691887,89.94811658263913
281734,Monjuri,Dhubri,25.582087671881297,89.93430468448341
281736,Rangapani,Dhubri,25.573030332248464,89.91257149448477
281749,Ayodoba,Dhubri,25.567683258682088,89.93174144319008
281748,Joyfar,Dhubri,25.56785741849666,89.92003420327168
281724,Chirakhowa Kutherghat,Dhubri,25.598367170460275,89.91620551608003
281735,Niz Chirakhowa,Dhubri,25.589453663539203,89.92028960857624
281718,Chirakhowa Bengervita,Dhubri,25.60706274114053,89.91998011451057
281711,Dorua,Dhubri,25.61174742157743,89.91026306720039
281708,Bhurakata,Dhubri,25.62828906029545,89.91648758615676
281707,Dharakoba Ptii,Dhubri,25.62879395972568,89.9056620422892
281706,Dharakoba Pt.I,Dhubri,25.63843686439061,89.90759962942751
281709,Pipulbari Pt.III,Dhubri,25.64754756299801,89.92137028278326
281716,Pipulbari Pt.II,Dhubri,25.633409902348607,89.92717646690369
281717,Chirakhowa Toppara,Dhubri,25.619880460331217,89.93163815480523
281715,Pipulbari Pt.I,Dhubri,25.629717859270965,89.94319447533418
281728,Tangoan Pt.III,Dhubri,25.64543476955636,89.95525285151481
281727,Tangoan Pt.I,Dhubri,25.62350716934024,89.95818462951463
281726,Chirakhowa,Dhubri,25.61159628712733,89.94370204239954
281725,Chirakhowa Maishghuma,Dhubri,25.605691837234627,89.93111090057816
281733,Chirakhowa Tetlibari,Dhubri,25.594842765328213,89.93402616422776
281732,Chomrashali,Dhubri,25.593982250604583,89.95207446249178
281752,Gopalpur,Dhubri,25.59367848160158,89.9666644056939
281731,Shadullabari,Dhubri,25.6110956244216,89.96391838430264
281754,Bormatia,Dhubri,25.60699495395489,89.97794242366587
281753,Jogipara,Dhubri,25.59535460988392,89.97916794319839
281757,Margaon Jatna,Dhubri,25.59725713470005,89.99366090825148
281758,Depkaidalbari,Dhubri,25.605025104494587,90.00655166659114
281756,Dhapgurikuraltanga Pt.I,Dhubri,25.61539644159164,89.99912195389608
281755,Dhapgurikuraltanga Pt.II,Dhubri,25.619445280798367,89.98813487881397
281730,Shalibharin,Dhubri,25.62360253313526,89.97632463084442
281729,Tangoan Pt.II,Dhubri,25.63365100054117,89.9665420172017
281714,Dhanua,Dhubri,25.660089337184264,89.94519124738817
281710,Gachuabari,Dhubri,25.651970435225,89.93445098691798
281701,Pipulbari Pt.IV,Dhubri,25.66561870527809,89.92392217878272
281702,Ashomkata,Dhubri,25.651846643975507,89.90976798665483
281698,Bamunpara,Dhubri,25.666645137714216,89.90636447327218
281700,Manullapara,Dhubri,25.674990142200805,89.91476251956655
